case_label,L,temperature,n,energy_pass_n,energy_pass_fraction,mag_pass_n,mag_pass_fraction,joint_pass_n,joint_pass_fraction,essE_min,essE_p10,essE_median,essM_min,essM_p10,essM_median,tauE_max,tauE_median,tauM_max,tauM_median,measurement_stride_min,measurement_stride_max,realization_threshold,required_pass_fraction,energy_cell_pass,joint_cell_pass,primary_mask_metric,primary_source_cell_pass
pristine_p100,100,1.5,10,10,1.0,10,1.0,10,1.0,1266.072804147124,1304.779454346339,1369.7817478420197,1634.0597753363434,1675.689260031321,1766.8970759508093,3.9492199687269913,3.650574265989897,3.0598635836139074,2.830151947314949,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,100,1.51,10,10,1.0,10,1.0,10,1.0,798.2995847073048,839.4975640628593,968.3270738179426,1118.4142142461922,1119.357834049711,1329.21489252153,6.2633127910660775,5.164279533879943,4.470615570073012,3.761619696201093,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,100,1.52,10,10,1.0,10,1.0,10,1.0,435.4190343304568,480.23578652367297,506.1344085632942,737.6536869758435,758.9875640580993,941.698213268327,11.483191146405652,9.87900168631162,6.7782485037097615,5.312213067676444,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,100,1.53,10,10,1.0,10,1.0,10,1.0,284.48280773096815,308.67098266001574,374.8198907631745,706.0705434718697,778.7487525564967,901.6599560653403,17.57575454165384,13.339751219657149,7.08144539696295,5.545332443824121,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,100,1.54,10,10,1.0,10,1.0,10,1.0,150.60246633097168,171.61757800430604,191.67051102677982,795.5374805827933,910.8512061865985,967.4510470621681,33.19998750227466,26.088126463897126,6.285058997266993,5.174607407107397,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,100,1.55,10,7,0.7,10,1.0,7,0.7,74.5189837012417,86.36254382653624,123.18674995918107,1014.9582411239126,1142.3615973329945,1284.1780566431612,67.0969966531721,40.59750342322862,4.926311051441148,3.893913577365844,2,2,100.0,0.9,False,False,corrected_energy_ESS_only,False
pristine_p100,100,1.56,10,4,0.4,10,1.0,4,0.4,64.46969259835261,66.71935130277397,92.88177683164056,1013.3566591240042,1101.410549857959,1198.5626649970163,77.55582194489577,53.88435441006031,4.934096948967848,4.17217282233541,2,2,100.0,0.9,False,False,corrected_energy_ESS_only,False
pristine_p100,100,1.57,10,1,0.1,10,1.0,1,0.1,48.126538282238506,59.44650741263909,81.56431754326951,930.2143343886846,960.7370318306054,1003.4401876545805,103.8927830353693,61.358224679207325,5.375105301173288,4.983026070435434,2,2,100.0,0.9,False,False,corrected_energy_ESS_only,False
pristine_p100,100,1.58,10,1,0.1,10,1.0,1,0.1,32.56442516559924,35.83390661591739,53.151802727734186,745.6325786696726,785.8027951509392,839.4711099403712,153.5417860003239,94.0877280002104,6.705715580347625,5.956154390860829,2,2,100.0,0.9,False,False,corrected_energy_ESS_only,False
pristine_p100,100,1.59,10,0,0.0,10,1.0,0,0.0,27.130175115098385,34.23146305876607,47.25450309543542,705.0000652466565,770.5962771852727,849.6863861051681,184.2966357123666,105.86386344713418,7.092197925188366,5.884564949355102,2,2,100.0,0.9,False,False,corrected_energy_ESS_only,False
pristine_p100,100,1.6,10,0,0.0,10,1.0,0,0.0,27.526803589910728,31.761099607147433,41.33816440352065,558.8969468936795,566.8586444514884,637.1210507547901,181.64114055845653,120.96789311807026,8.946193082266317,7.847832155745014,2,2,100.0,0.9,False,False,corrected_energy_ESS_only,False
pristine_p100,100,1.61,10,0,0.0,10,1.0,0,0.0,15.215825892278717,19.750292547428067,34.599890147250356,440.0671383431468,474.9237492511241,532.8547181223311,328.6052321706214,146.17018847163774,11.36190268336101,9.384283593379473,2,2,100.0,0.9,False,False,corrected_energy_ESS_only,False
pristine_p100,100,1.62,10,0,0.0,10,1.0,0,0.0,16.627330736549936,16.748084369766236,23.955943456077684,308.432808760485,367.8979129571395,461.9853102999068,300.7097217961196,208.82157549345675,16.21098617910903,10.835122711253138,2,2,100.0,0.9,False,False,corrected_energy_ESS_only,False
pristine_p100,120,1.42,10,10,1.0,10,1.0,10,1.0,2812.979430682992,2900.027514006997,2988.395351750428,3143.874486655138,3198.579081093934,3346.0386055559475,1.7774747818849137,1.6731387288091424,1.5903942798046145,1.4950183910502173,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,120,1.43,10,10,1.0,10,1.0,10,1.0,2642.626562448964,2692.8901847400593,3004.615953043447,2932.055158748415,2990.5171081348835,3386.023263344221,1.89205696750676,1.6641886950356826,1.7052885192426983,1.476682519133723,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,120,1.44,10,10,1.0,10,1.0,10,1.0,2704.4162678483062,2743.854796315251,2846.995427168281,3067.5448691739084,3079.0516336367536,3173.6459097647758,1.8488278078500504,1.756297477160975,1.629968008046286,1.5754794557103087,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,120,1.45,10,10,1.0,10,1.0,10,1.0,2465.3925545490556,2523.8646056346493,2719.6287976319763,2786.456669893234,2825.654949057832,2947.2110879934116,2.0280745923298,1.8384952468187234,1.794393594568826,1.6966523133016194,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,120,1.46,10,10,1.0,10,1.0,10,1.0,2174.158854378497,2350.9144577550114,2474.72435328577,2547.54543891361,2642.1178152741854,2999.6287523765345,2.2997399614708907,2.0204314732394906,1.9626735302245404,1.666905009082806,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
